concept,family,classification,justification,required_missing_capability,closest_supported_substitute,composition_constraint_needed,composition_constraint_note,priority_unlock
provider_position_label,"Entities, availability, roles, and tactical identity",role_or_reference_gap,A provider-supplied position label is a role/position taxonomy attribute; the catalog has no role taxonomy and does not ingest position labels as a primitive.,role_or_reference (position/role taxonomy),"registered_entity (identity only, no position label)",False,,MED
reference_player_set,"Entities, availability, roles, and tactical identity",supported,A named set of reference players is an entity set over registered_entity / team_membership; resolvable when defined by identity rather than role.,,registered_entity + team_membership,False,,LOW
registered_entity,"Entities, availability, roles, and tactical identity",supported,Directly the registered_entity primitive (catalog entity identity).,,registered_entity,False,,LOW
role_change_candidate,"Entities, availability, roles, and tactical identity",role_or_reference_gap,Detecting a change of a player's role/position requires a role taxonomy to change between; no role taxonomy exists.,role_or_reference (role taxonomy),"change_across_anchor on position (positional shift, not a role change)",False,,MED
role_exchange_candidate,"Entities, availability, roles, and tactical identity",role_or_reference_gap,Two players swapping roles needs role identities to swap; no role taxonomy. Positional swap is observable but role attribution is not.,role_or_reference (role taxonomy),pairwise_distance + change_across_anchor (positional swap proxy),False,,LOW
substitution_episode,"Entities, availability, roles, and tactical identity",supported,A substitution is an event-marked anchor with one registered_entity leaving and another entering the active set; availability change is supported.,,action_event_anchor (event-marked) + registered_entity + active_player_timeline,False,,LOW
tactical_role_assignment,"Entities, availability, roles, and tactical identity",role_or_reference_gap,Assigning a tactical role to a player is precisely the missing role taxonomy (known gap).,role_or_reference (role taxonomy),registered_entity + team_membership (identity only),False,,HIGH
tactical_role_episode,"Entities, availability, roles, and tactical identity",role_or_reference_gap,"A timespan during which a player holds a tactical role depends on role assignment, which the catalog lacks.",role_or_reference (role taxonomy) + persists_for over it,persists_for over position zones (no role labeling),False,,MED
team_membership,"Entities, availability, roles, and tactical identity",supported,"Which team an entity belongs to is the team_membership relation in the catalog; basic identity, not role.",,team_membership + registered_entity,False,,LOW
unit_membership,"Entities, availability, roles, and tactical identity",role_or_reference_gap,Membership in a tactical unit (defence/midfield/attack) presupposes a role/unit taxonomy; line-rank membership via multi_line_model is observable but does not equal a named unit. Mostly role gap.,role_or_reference (unit/role taxonomy),multi_line_model (rank membership) + team_membership,False,,MED
back_pressure_candidate,"Pressure, marking, cover, denial, and collective defending",partial_with_typed_gap,"Pressure from behind the carrier is detectable via pressure_on_carrier (distance+closing_speed+approach_angle gives the behind-approach direction), but distinguishing 'back pressure' as a typed counterpressing-after-loss signal needs the regain/loss hinge.",transition_anchor,pressure_on_carrier (approach_angle from behind),False,,MED
block_compactness_state,"Pressure, marking, cover, denial, and collective defending",supported,"Defensive block compactness is team_compactness (width/depth/dispersion) computed on the defensive outfield set, with defensive_outfield_centroid as the reference.",,team_compactness + defensive_outfield_centroid,False,,LOW
block_depth_state,"Pressure, marking, cover, denial, and collective defending",supported,Depth of the defensive block is the depth component of team_compactness measured over the defensive outfield set.,,team_compactness (depth) + defensive_outfield_centroid,False,,LOW
block_shift_episode,"Pressure, marking, cover, denial, and collective defending",supported,"Lateral movement of the block is signed_lateral_shift (block shift) over defensive_outfield_centroid, episodized with persists_for.",,signed_lateral_shift + defensive_outfield_centroid,False,,LOW
containment_episode,"Pressure, marking, cover, denial, and collective defending",partial_with_typed_gap,"Delaying/containing the carrier without committing is partially visible via pressure_on_carrier (sustained nearest-defender distance with low closing_speed/duration), but true containment requires reasoning about which forward lanes are denied = cover_shadow/reachability.",time_to_arrival,pressure_on_carrier (low closing_speed + duration),False,,MED
cover_relation,"Pressure, marking, cover, denial, and collective defending",missing_primitive,A second defender covering behind the pressing defender is a defensive cover/reachability relation; no cover_shadow or time_to_arrival primitive exists. pairwise_distance only gives raw spacing.,time_to_arrival,pairwise_distance (defender-to-defender spacing),False,,MED
cover_shadow_region,"Pressure, marking, cover, denial, and collective defending",missing_primitive,Cover shadow / passing-lane denial behind a defender is exactly the missing reachability geometry; no cover_shadow or time_to_arrival primitive exists.,cover_shadow,"lane_occupancy (attacking lane occupation only, not defensive shadow)",False,,HIGH
cross_lane_block,"Pressure, marking, cover, denial, and collective defending",missing_primitive,A defender blocking a cross-lane is defensive lane coverage / reachability denial; no cover_shadow or time_to_arrival reachability primitive exists to assert the lane is denied.,time_to_arrival,"lane_occupancy (attacking occupation, not defensive denial)",False,,MED
defender_arrival_time,"Pressure, marking, cover, denial, and collective defending",missing_primitive,Time for a defender to arrive at a point/carrier is geometric time-to-arrival; velocity exists but no reachability/time_to_arrival primitive is built.,time_to_arrival,velocity + pairwise_distance (no arrival-time composition built),False,,HIGH
defensive_access_to_receiver,"Pressure, marking, cover, denial, and collective defending",missing_primitive,Whether a defender can reach the receiver before the ball arrives is a reachability/interception margin; requires time_to_arrival which is not built.,time_to_arrival,pairwise_distance + velocity (no reachability composition),False,,HIGH
defensive_overload,"Pressure, marking, cover, denial, and collective defending",supported,Local defensive numerical advantage is local_number_relation (local counts/overloads) evaluated for the defending team in a region.,,local_number_relation,False,,LOW
defensive_reaction_to_pass,"Pressure, marking, cover, denial, and collective defending",partial_with_typed_gap,"Defensive movement triggered by a pass can be captured via change_across_anchor (before/after delta) anchored on the pass action_event_anchor, but isolating it as a defender 'reaction' (who reacts, reachability shift) needs role/reachability not present.",time_to_arrival,change_across_anchor + action_event_anchor (pass),True,,LOW
